source,family,implementation,workload,operations_kind,operations,threads,successful_repetitions,expected_repetitions,failed_repetitions,observed_repetitions,complete
libVentra_deque_concurrent_deque_benchmark.json,deque,std::allocator,PushFrontPopBack,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentPhasedPushBackPopFront,total_operations,61440.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,512.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,2048.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushBackPopFront,operations_per_thread,8192.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,512.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,ConstructDestroy,,,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushBackPopFront,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,std::deque + mutex,PushFrontPopBack,operations,61440.0,1,30,30,0,30,True
